machine_id,machine_id_encoded,timestamp,operating_speed_rpm,load_percentage,temperature_celsius,rms,peak_to_peak,kurtosis,skewness,crest_factor,spectral_centroid,spectral_bandwidth,spectral_rolloff,dominant_frequency,frequency_rms,entropy,impulse_factor,clearance_factor,band_energy_1_5kHz,snr_estimated,fault_class,is_early_fault,fault_severity
CAT-DZ-001,4,2025-01-01 00:00:00,3109.5,23.3,59.6,0.779157,8.147845,-0.280226,0.091014,7.002408,1806.0796,1655.8258,104.9805,51.2695,49.855205,3.077589,8.330824,9.465803,231422.0923,-21.6857,bearing_wear_early,1,0.0824
CAT-TB-002,3,2025-01-01 00:09:00,1863.1,86.8,115.3,1.514771,18.3474,-0.800119,0.09683,7.066147,1703.4627,1635.4259,31.7383,31.7383,96.922489,2.634589,7.794432,8.446292,439248.9603,-19.806,imbalance_severe,0,0.941
CAT-TB-002,3,2025-01-01 00:09:00,2766.7,30.7,63.9,0.638338,5.380531,0.057825,0.047919,4.455047,2489.2968,1692.9462,4340.8203,4338.3789,40.844644,3.434307,5.625421,6.666198,2479372.3867,-22.6825,bearing_wear_severe,0,0.709
CAT-EX-001,0,2025-01-01 00:37:00,874.5,80.3,104.9,0.990551,6.680998,0.873501,1.423026,3.81714,1823.9863,1647.2674,43.9453,14.6484,63.380733,3.102335,5.004611,5.883688,161340.0237,-18.7043,misalignment_severe,0,0.6082
CAT-EX-002,1,2025-01-01 00:49:00,2093.3,81.3,116.2,0.624859,5.662856,0.242622,-0.569276,6.409234,1553.1757,1623.6746,70.8008,34.1797,39.985045,3.177804,8.047711,9.579368,67138.5063,-19.1402,normal,0,0.0
CAT-DZ-001,4,2025-01-01 00:54:00,2986.0,79.7,107.2,0.641067,5.483335,0.436136,0.432818,5.61749,1649.3097,1727.5077,249.0234,48.8281,41.025111,3.352126,7.440574,9.212287,260978.9865,-18.7875,combined_fault,0,0.4255
CAT-EX-001,0,2025-01-01 01:21:00,2808.4,24.8,72.4,0.5251,8.687843,3.924169,0.407601,11.804061,1761.6607,1560.08,881.3477,46.3867,33.599708,2.714866,14.208793,16.177864,344398.299,-22.1846,bearing_wear_early,1,0.2488
CAT-EX-001,0,2025-01-01 00:27:00,2017.7,48.3,77.2,0.700494,5.703397,-1.042559,-0.491832,5.910616,1661.248,1609.5899,68.3594,34.1797,44.821799,3.104312,6.533492,6.990428,165116.4445,-19.1126,bearing_wear_early,1,0.1703
CAT-DZ-001,4,2025-01-01 00:35:00,1242.3,92.4,116.7,0.721896,6.237335,-0.507716,-0.084062,5.303041,1523.3245,1638.7574,83.0078,19.5312,46.20952,3.279848,6.526635,7.665941,85149.3592,-18.9313,normal,0,0.0
CAT-TB-002,3,2025-01-01 01:41:00,1199.6,23.1,118.4,0.838557,6.35324,-0.994562,0.16025,4.181289,1761.6311,1657.6991,36.6211,19.5312,53.654937,3.359062,4.96806,5.739539,119372.5161,-18.7394,imbalance_severe,0,0.8266
CAT-TB-001,2,2025-01-01 01:09:00,1382.4,84.9,67.1,0.84363,6.271432,-1.128054,-0.380184,4.076031,1315.5723,1591.8084,26.8555,21.9727,54.011714,3.109145,4.54463,4.905572,55512.7949,-15.9417,imbalance_early,1,0.2131
CAT-DZ-001,4,2025-01-01 02:01:00,2063.0,67.9,109.9,1.42005,11.638855,-0.521569,-0.085002,6.021387,1987.419,1605.6575,102.5391,34.1797,90.862388,3.381751,7.149686,8.216276,1061263.5779,-23.1772,combined_fault,0,0.7621
CAT-TB-001,2,2025-01-01 01:10:00,1046.1,59.8,90.5,0.93224,8.720562,-0.867776,-0.18029,5.719766,1565.2156,1633.2846,53.7109,51.2695,59.655446,3.168639,6.635491,7.469088,164288.8279,-19.6887,misalignment_severe,0,0.9495
CAT-EX-002,1,2025-01-01 02:23:00,2083.4,69.7,98.0,0.946586,6.623947,-0.666823,0.0416,4.218192,1836.5001,1661.6755,3383.7891,34.1797,60.575183,3.583917,5.079372,5.871442,1273016.2879,-18.6591,bearing_wear_severe,0,0.609
CAT-TB-002,3,2025-01-01 00:25:00,823.8,36.9,42.8,2.379898,26.463344,-0.627262,0.123357,6.17056,2051.4932,1616.8277,21.9727,14.6484,152.412017,3.042021,7.095394,7.903533,4142161.6198,-25.2247,imbalance_severe,0,0.9263
CAT-TB-002,3,2025-01-01 03:10:00,939.0,68.8,74.8,0.63696,7.560947,-0.260598,0.096332,6.670787,2127.0334,1591.958,1367.1875,14.6484,40.797729,3.01729,7.763016,8.673377,560475.9231,-27.6522,normal,0,0.0
CAT-DZ-001,4,2025-01-01 02:42:00,2463.6,87.1,104.8,0.565882,6.27833,-0.478501,0.088907,6.087965,1634.944,1624.3193,205.0781,41.5039,36.208967,3.036354,7.118191,8.023595,70090.8297,-20.199,misalignment_early,1,0.1625
CAT-TB-001,2,2025-01-01 02:53:00,1593.7,57.3,102.0,0.448657,2.091607,-0.659273,0.39608,2.555947,1927.709,1625.2359,53.7109,26.8555,28.708083,3.932588,3.159821,3.753866,93045.2399,-23.356,normal,0,0.0
CAT-TB-001,2,2025-01-01 02:26:00,1983.0,32.7,70.6,1.033965,9.022872,0.1892,-0.002053,5.815941,2202.4177,1448.0032,2800.293,2795.4102,66.158853,3.389491,7.333071,8.67323,6689665.7614,-21.1399,bearing_wear_severe,0,0.9207
CAT-DZ-001,4,2025-01-01 02:00:00,2332.1,21.2,68.7,1.050958,16.860191,1.560012,0.276802,9.057451,2174.9965,1571.5662,1157.2266,39.0625,67.245748,2.772698,11.22629,13.148362,1452101.4018,-27.6145,misalignment_severe,0,0.6916
CAT-DZ-001,4,2025-01-01 04:20:00,2940.7,50.3,42.2,0.77637,5.523667,-0.967845,-0.309651,5.133558,2018.7556,1722.4024,51.2695,48.8281,49.676877,3.445389,5.888962,6.520499,309773.0785,-19.24,bearing_wear_early,1,0.1519
CAT-TB-001,2,2025-01-01 01:40:00,2224.8,80.2,81.2,0.309788,3.36751,0.357317,-0.930444,5.734166,1820.1866,1634.6137,185.5469,73.2422,19.821891,2.970856,7.133226,8.280377,47519.909,-23.5465,imbalance_early,1,0.0847
CAT-TB-002,3,2025-01-01 04:59:00,1021.0,57.1,99.4,1.152068,9.480054,-0.420032,-0.572731,4.430961,1909.5517,1739.6249,51.2695,17.0898,73.714405,3.315571,5.529766,6.612091,348833.8809,-16.6169,combined_fault,0,0.8688
CAT-TB-002,3,2025-01-01 00:27:00,1360.2,36.0,91.9,0.707113,5.261231,-0.48037,0.0747,4.569,2075.2646,1804.4692,4306.6406,21.9727,45.249639,3.546409,5.526898,6.384277,1252351.3309,-18.9811,bearing_wear_severe,0,0.6142
CAT-TB-001,2,2025-01-01 05:14:00,2750.4,83.3,96.4,0.493166,4.036681,0.734732,-0.961092,4.933696,1907.9519,1654.6809,183.1055,46.3867,31.555287,3.318101,6.52439,7.943532,168186.5835,-23.0353,bearing_wear_early,1,0.1123
CAT-DZ-001,4,2025-01-01 05:02:00,1708.7,65.8,40.3,0.75566,5.998396,-0.92335,0.364065,4.685328,1835.4941,1645.3635,63.4766,29.2969,48.356811,3.315071,5.29981,5.759751,236459.7427,-22.7089,normal,0,0.0
CAT-EX-002,1,2025-01-01 04:51:00,562.5,43.7,117.3,0.506854,6.046779,0.601499,0.271184,7.846733,2097.5879,1617.0313,739.7461,19.5312,32.434115,3.048731,9.903706,11.813769,305963.0316,-26.9788,imbalance_severe,0,0.6107
CAT-DZ-001,4,2025-01-01 06:23:00,1263.5,96.2,79.0,0.689169,5.153655,-0.372816,0.052475,4.002444,2015.3773,1597.2122,100.0977,21.9727,44.107534,3.532566,4.985173,5.900198,458796.357,-26.1756,normal,0,0.0
CAT-EX-002,1,2025-01-01 01:28:00,2790.3,24.0,88.2,0.508027,5.725383,0.299681,-0.767227,7.519689,1878.7777,1628.6099,139.1602,92.7734,32.50582,2.93884,9.002336,10.155116,75081.4879,-21.2931,normal,0,0.0
CAT-DZ-001,4,2025-01-01 06:15:00,845.2,91.3,61.2,1.026329,7.511853,0.408027,0.489444,4.854295,1594.4001,1650.8676,43.9453,14.6484,65.669669,3.279687,6.817586,8.960834,171852.1347,-18.5763,misalignment_severe,0,0.9115
CAT-DZ-001,4,2025-01-01 05:00:00,2649.4,40.1,91.0,0.491539,5.010692,0.51312,-0.26184,6.597197,1719.6278,1571.2044,1806.6406,87.8906,31.450926,3.23507,8.469994,10.175143,317991.0698,-21.308,bearing_wear_early,1,0.2282
CAT-TB-002,3,2025-01-01 01:43:00,964.3,32.3,109.5,2.125531,19.274801,-0.62159,0.572041,5.714871,1829.6012,1595.7356,31.7383,17.0898,136.139656,3.143381,6.639591,7.364488,3096430.1847,-21.8764,combined_fault,0,0.7695
CAT-TB-002,3,2025-01-01 03:23:00,2228.9,49.2,88.9,0.622454,8.271817,0.758986,-0.809155,6.995194,1759.7888,1637.4088,87.8906,36.6211,39.830666,2.721631,8.922803,10.614265,126589.0414,-21.8727,imbalance_early,1,0.2001
CAT-TB-001,2,2025-01-01 03:04:00,2817.0,71.8,49.5,0.491361,4.989573,-0.442109,0.664,6.54219,1524.4115,1607.9749,141.6016,46.3867,31.443714,2.884685,7.998458,9.56562,46839.6939,-19.9279,imbalance_early,1,0.1262
CAT-TB-001,2,2025-01-01 04:04:00,2758.8,68.7,94.8,1.657262,16.972302,-0.874362,-0.306204,5.130548,1935.3549,1619.3945,46.3867,46.3867,106.050429,3.02245,5.758762,6.259832,876206.4836,-21.6995,imbalance_severe,0,0.8102
CAT-TB-001,2,2025-01-01 04:05:00,1243.7,56.1,92.8,0.482725,3.391281,-1.402114,-0.211614,3.776609,1261.5939,1572.5534,63.4766,19.5312,30.91321,3.257732,4.144242,4.4547,20307.5438,-16.41,normal,0,0.0
CAT-TB-002,3,2025-01-01 01:55:00,2853.4,36.0,110.5,0.475599,4.209911,-0.624248,-0.114479,6.388088,1486.6468,1606.6859,144.043,95.2148,30.4358,3.239817,7.312865,8.085657,33663.9044,-18.8228,normal,0,0.0
CAT-DZ-001,4,2025-01-01 06:46:00,3078.1,50.9,41.9,1.991925,14.509814,-1.085897,-0.149965,5.154934,2232.2079,1548.0097,51.2695,51.2695,127.452663,3.396088,5.783798,6.309878,2351004.2458,-24.0679,imbalance_severe,0,0.8276
CAT-EX-002,1,2025-01-01 04:05:00,2775.8,69.2,96.8,0.53475,4.424264,-0.1882,0.373233,5.041795,1641.2111,1627.586,92.7734,46.3867,34.215705,3.204048,6.573531,8.173679,31453.8502,-17.0783,normal,0,0.0
CAT-EX-001,0,2025-01-01 03:56:00,2603.9,62.0,43.4,0.907163,7.438171,0.87849,1.199406,6.465014,1392.5183,1582.3777,129.3945,43.9453,58.04951,3.152702,8.396753,9.955834,104499.0771,-18.0137,misalignment_severe,0,0.8102
CAT-TB-002,3,2025-01-01 03:27:00,2769.6,95.1,118.3,1.497825,9.177831,-1.288396,0.101912,4.471818,1703.5259,1646.0079,46.3867,46.3867,95.838483,3.379951,5.054007,5.577397,189018.6866,-16.0517,imbalance_severe,0,0.9975
CAT-DZ-001,4,2025-01-01 08:05:00,905.8,46.8,83.0,0.867957,5.440589,-0.25869,0.08175,3.23196,1800.2572,1507.3013,1948.2422,1948.2422,55.541551,3.724853,3.977044,4.61912,3372167.3724,-18.6731,bearing_wear_severe,0,0.8551
