machine_id,machine_id_encoded,timestamp,operating_speed_rpm,load_percentage,temperature_celsius,rms,peak_to_peak,kurtosis,skewness,crest_factor,spectral_centroid,spectral_bandwidth,spectral_rolloff,dominant_frequency,frequency_rms,entropy,impulse_factor,clearance_factor,band_energy_1_5kHz,snr_estimated,fault_class,fault_present
CAT-DZ-001,4,2025-01-01 00:52:00,2191.5,44.0,85.6,0.505219,2.877666,-0.271886,-0.101178,3.154193,1648.7657,1605.2635,180.6641,36.6211,32.326325,3.801687,3.986117,4.772943,54203.0308,-19.9403,normal,0
CAT-DZ-001,4,2025-01-01 00:56:00,2195.4,43.3,86.2,0.605432,2.818992,-0.975872,-0.306397,2.402135,1662.9528,1617.1923,109.8633,36.6211,38.738252,3.901528,2.847145,3.271096,58478.5044,-18.8044,normal,0
CAT-DZ-001,4,2025-01-01 00:57:00,2194.4,44.2,82.8,0.518915,3.230465,-0.683639,0.419331,4.126195,1670.5526,1632.9502,109.8633,36.6211,33.203324,3.650991,4.828037,5.403324,50673.7573,-19.3649,normal,0
CAT-DZ-001,4,2025-01-01 01:00:00,2187.7,44.6,82.1,0.406027,2.091841,-0.682953,-0.045944,2.64424,1507.5328,1581.0653,217.2852,36.6211,25.979706,3.90831,3.179999,3.6574,31571.1978,-19.4379,normal,0
CAT-DZ-001,4,2025-01-01 01:04:00,2172.0,42.4,82.4,0.788658,3.964463,-0.609392,-0.373491,2.550451,1558.0474,1626.9515,73.2422,36.6211,50.466492,3.86602,3.113588,3.611477,87312.6282,-17.8869,normal,0
CAT-DZ-001,4,2025-01-01 01:08:00,2187.9,41.7,82.2,0.472774,3.201001,-0.773237,0.307786,4.042458,1646.7866,1608.8933,146.4844,36.6211,30.250774,3.558739,4.720451,5.281763,46880.1668,-20.0601,normal,0
CAT-DZ-001,4,2025-01-01 01:12:00,2190.2,43.7,82.0,0.829242,3.758201,-0.933897,-0.223446,2.426374,1649.5395,1611.016,73.2422,36.6211,53.059264,3.970155,2.84753,3.209125,84116.6601,-17.6156,normal,0
CAT-DZ-001,4,2025-01-01 01:13:00,2192.8,43.2,82.6,0.520795,2.434795,-0.801238,-0.515899,2.447892,1764.639,1622.3233,146.4844,36.6211,33.323086,3.857914,2.951152,3.430284,44878.4275,-18.773,normal,0
CAT-DZ-001,4,2025-01-01 01:14:00,2183.3,42.1,80.2,0.604983,3.570456,-0.780892,-0.589377,3.50573,1767.062,1632.1009,73.2422,36.6211,38.709486,3.599151,4.125507,4.640148,70127.3963,-19.4597,normal,0
CAT-DZ-001,4,2025-01-01 01:15:00,2179.8,40.7,79.2,0.407841,2.363681,-0.021059,-0.206044,3.02258,1565.5023,1610.5297,146.4844,36.6211,26.095965,3.788113,3.866868,4.65911,33537.6792,-20.0038,normal,0
CAT-DZ-001,4,2025-01-01 01:19:00,2161.0,41.0,78.7,0.480048,3.364866,0.114357,-0.716378,3.992087,1476.8276,1615.1959,144.043,36.6211,30.719646,3.534022,5.075652,6.04291,42046.8186,-19.4594,normal,0
CAT-DZ-001,4,2025-01-01 01:23:00,2162.3,42.5,78.7,0.633975,3.843673,-0.191846,1.015149,3.442034,1488.6252,1608.6147,107.4219,36.6211,40.566203,3.387843,4.256837,4.925539,65118.5006,-18.8092,normal,0
CAT-DZ-001,4,2025-01-01 01:26:00,2180.7,43.3,75.3,0.633873,3.393938,-0.282398,-0.157146,2.759217,1551.293,1610.2735,107.4219,36.6211,40.558068,3.86103,3.452727,4.073332,58149.1743,-18.1888,normal,0
CAT-DZ-001,4,2025-01-01 01:27:00,2161.0,42.0,76.8,0.643896,6.970266,0.635797,-0.205275,8.727724,1678.8555,1637.1277,109.8633,36.6211,41.201702,3.123738,10.744959,12.648694,116919.8479,-21.2661,normal,0
CAT-DZ-001,4,2025-01-01 01:31:00,2156.0,43.0,80.3,0.500686,3.586663,-1.02384,0.194105,4.220284,1608.8808,1623.7088,107.4219,36.6211,32.042631,3.489709,4.922113,5.584844,52120.7458,-19.8044,normal,0
CAT-DZ-001,4,2025-01-01 01:35:00,2162.2,44.9,83.7,0.657443,3.96471,-0.844488,-0.142445,3.245157,1589.3355,1603.8974,107.4219,36.6211,42.066109,3.648942,3.846075,4.374872,89499.5224,-20.3982,normal,0
CAT-DZ-001,4,2025-01-01 01:37:00,2152.6,43.3,83.8,0.45751,2.317804,-0.650916,0.102927,2.66656,1521.3362,1627.1226,178.2227,70.8008,29.277133,3.902737,3.284742,3.876145,40997.6578,-19.5082,normal,0
CAT-DZ-001,4,2025-01-01 01:39:00,2183.4,43.7,82.1,0.450737,2.561445,0.025368,0.507111,3.092918,1496.2423,1599.3822,144.043,36.6211,28.840841,3.796003,3.930011,4.685216,36999.4592,-19.4664,normal,0
CAT-DZ-001,4,2025-01-01 01:42:00,2189.5,43.5,78.8,0.575582,4.453031,-0.152866,-0.341697,5.091459,1657.3005,1640.0742,146.4844,36.6211,36.829133,3.490999,6.310186,7.388569,64219.3223,-19.5023,normal,0
CAT-DZ-001,4,2025-01-01 01:44:00,2204.7,41.2,79.8,0.630558,3.109956,-0.726341,0.70097,2.782471,1824.7718,1623.4665,73.2422,36.6211,40.346839,3.733861,3.256996,3.638484,74125.7641,-19.2787,normal,0
CAT-DZ-001,4,2025-01-01 01:47:00,2210.0,42.6,80.0,0.479278,3.579383,-0.922431,-0.099571,5.046753,1689.8891,1617.3553,146.4844,36.6211,30.667276,3.474029,5.905753,6.706402,54249.3708,-20.5705,normal,0
CAT-DZ-001,4,2025-01-01 01:50:00,2206.4,42.3,78.7,0.442313,2.045088,-0.805613,-0.355573,2.354642,1779.2479,1640.6823,146.4844,36.6211,28.301254,3.942517,2.830032,3.267221,48234.6877,-20.6239,normal,0
CAT-DZ-001,4,2025-01-01 01:54:00,2209.4,45.5,80.9,0.819971,7.649983,-0.63128,-0.011212,7.071689,1832.5789,1637.6671,87.8906,36.6211,52.468421,3.195427,8.205038,9.24279,157636.0159,-20.493,normal,0
CAT-DZ-001,4,2025-01-01 01:57:00,2188.8,43.5,82.0,0.477461,4.441018,-0.127147,-0.287845,5.303787,1690.8494,1623.2567,146.4844,36.6211,30.550054,3.31039,6.68797,7.981693,51163.1714,-20.2394,normal,0
CAT-DZ-001,4,2025-01-01 02:01:00,2231.0,41.0,85.0,0.379102,2.101075,-0.446975,0.08042,2.882635,1461.4671,1606.638,205.0781,36.6211,24.256596,3.837972,3.544801,4.141176,26175.3546,-19.056,normal,0
CAT-DZ-001,4,2025-01-01 02:04:00,2210.1,37.6,84.7,0.784344,3.440797,-0.827886,0.437781,2.362143,1690.3937,1635.3504,73.2422,36.6211,50.187368,3.938067,2.845868,3.296093,103104.9049,-18.8391,normal,0
CAT-DZ-001,4,2025-01-01 02:06:00,2191.7,38.7,84.4,0.540072,2.561326,-0.816409,-0.170671,2.439722,1668.2933,1618.0854,109.8633,36.6211,34.556218,3.955974,2.925867,3.37768,46232.9838,-18.565,normal,0
CAT-DZ-001,4,2025-01-01 02:08:00,2199.8,40.1,81.1,0.627143,3.151562,-0.560934,-0.099615,2.5138,1725.8714,1633.3625,114.7461,36.6211,40.12792,3.921186,3.108254,3.675445,73790.7103,-19.1549,normal,0
CAT-DZ-001,4,2025-01-01 02:09:00,2178.0,47.4,80.1,0.533022,2.317095,-0.999806,0.316795,2.339437,1506.2886,1608.0813,146.4844,36.6211,34.106285,3.995483,2.728153,3.077727,48674.4353,-19.0017,misalignment_early,1
